RESIDENTIAL MANAGEMENT MASTER LIST - RM ONLY,,,,,,,,,,
"March 4, 2026",,,,,,,,,,
PROJECT,FILE#,Unit #,ST. #,STREET,CITY,PM,ACCT,INS,NON-RESIDENT,
6,0610-01,501,677,WEST 41ST AVENUE,VAN,AN,Leuvin ,YES,,
6,0611-01,510,1788,COLUMBIA STREET,VAN,KH,Leuvin ,YES,,
6,0611-02,509,1788,COLUMBIA STREET,VAN,KH,Leuvin ,YES,,
6,0615-01,607,3289,RIVERWALK AVENUE,VAN,AA,Leuvin ,NO,,
6,0616-01,314,1330,BURRARD STREET,VAN,JR,Leuvin ,NO,,
6,0618-01,602,1788,COLUMBIA STREET,VAN,JR,Leuvin ,YES,,
6,0619-01,702,1788,COLUMBIA STREET,VAN,AA,Leuvin ,YES,,
6,0620-01,509,111,EAST 1ST AVENUE,VAN,AN,Leuvin ,NO,,
6,0622-01,511,1661,QUEBEC STREET,VAN,AN,Leuvin ,YES,,
6,0623-01,1102,1788,COLUMBIA STREET,VAN,AN,Leuvin ,YES,,
6,0626-01,1008,8131,NUNAVUT LANE,VAN,KH,Leuvin ,YES,,
6,0626-02,2709,8131,NUNAVUT LANE,VAN,KH,Leuvin ,YES,,
6,0629-01,,2238,ALDER ST.,VAN,JR,Leuvin ,YES,,
6,0630-01,901,728,West 8TH AVENUE,VAN,KH,Leuvin ,YES,,
6,0631-01,HOUSE,69,EAST 47TH AVENUE,VAN,KH,Leuvin ,N/A,,
6,0632-01,706,108,WEST 1ST AVENUE,VAN,KH,Leuvin ,NO,,
6,0633-01,211,950,DRAKE STREET,VAN,JR,Leuvin ,NO,,
6,0634-01,1809,1618,QUEBEC STREET,VAN,KH,Leuvin ,NO,,
6,0635-01,311,1618,QUEBEC STREET,VAN,KH,Leuvin ,NO,,
6,0637-01,301,138,WEST 1ST AVENUE,VAN,AN,Leuvin ,NO,,
6,0638-01,412,5638,BIRNEY AVENUE,VAN,KH,Leuvin ,NO,,
6,0639-01,606,8238,LORD STREET,VAN,KH,Leuvin ,YES,,
6,0640-01,403,1050,SMITHE STREET,VAN,AN,Leuvin ,YES,,
6,0643-01,2102,489,INTERURBAN WAY,VAN,KH,Leuvin ,YES,,
6,0644-01,902,8238,LORD STREET,VAN,KH,Leuvin ,YES,,
6,0645-01,1906,1133,HORNBY STREET,VAN,AN,Leuvin ,YES,,
6,0647-01,707,1678,PULLMAN PORTER STREET,VAN,JR,Leuvin ,YES,,
6,0650-01,2003,488,SW MARINE DRIVE,VAN,KH,Leuvin ,YES,,
