PROJ #,PROJECT NAME,"STRATA 
PLAN",PM
5243,"PALOMA 2 (RESIDENTIAL)
8033 Saba Road
Richmond, B.C.
V6Y 4M8",BCS3856,RY
5245,"PALOMA 2 (JOINT)
8033 Saba Road
Richmond, B.C.
V6Y 4M8",BCS3856,RY
"5253
5253T
5253HH","  RICHARDS LIVING
1088 Richards Street 
Vancouver, BC
V6B 0J8

1038, 1040, 1048, 1050, 1058, 1060, 1070, 1090 Richards Street
Vancouver, BC
V6B 3E1

477 and 487 Helmcken Street
Vancouver, BC
V6B 2E6",BCS4213,YM
"5255
5255-1 (Tower 1)
5255-2 (Tower 2)

","TV TOWERS (JOINT)
Tower 1
788 Hamilton Street
Vancouver, BC 
V6B 0E9

Tower 2
233 Robson Street
Vancouver, BC 
V6B 0E8",BCS3407,JT
"5256 ? Park Place Joint

5256-1 (One Park Place)
5256-2 (Two Park Place)
5256-C (Commercial)


","PARK PLACE - JOINT
One Park Place ? 13688 ? 100th Ave V3T 0G5
Two Park Place ? 9981 Whalley Boulevard V3T 0G6
Surrey, BC
",EPS561,GR
"5257 ? Park Place Residential

5256-1 (One Park Place)
5256-2 (Two Park Place)
","PARK PLACE - RESIDENTIAL
One Park Place ? 13688 ? 100th Ave
Two Park Place ? 9981 Whalley Boulevard
Surrey, BC
",EPS561,GR
"5258 ? Park Place Commercial

5256-C
","PARK PLACE - COMMERCIAL 
One Park Place ? 13688 ? 100th Ave
Two Park Place ? 9981 Whalley Boulevard
Surrey, BC
",EPS561,CKS
5260,PERLA - RESIDENTIAL,BCS282,RY
5261,FREESIA - JOINT,BCS1903,CL
5262,VICTORIA HILL - COMMERCIAL,BCS2450,SA
5263,VICTORIA HILL - JOINT,BCS2450,DC
5266,MARINASIDE RESORT - RESIDENTIAL,LMS4255,JL
5267,DEL PRADO - RESIDENTIAL,LMS2146,KZ
5271,"CEDAR CREEK NORTH
1480 Southview Street
Coquitlam, BC

",EPS1113,KC
5272,PALOMA ONE - RESIDENTIAL,BCS2610,RY
5273,PALOMA ONE - COMMERCIAL,BCS2610,RY
5274,"JARDINES LOOKOUT - RESIDENTIAL
867 Hamilton Street
Vancouver, B.C.
V6B 6B7",LMS1716,"SC
"
5275,"JARDINES LOOKOUT - COMMERCIAL
837, 847, 863 Hamilton Street
Vancouver, B.C.
",LMS1716,SC
5277,"UPTOWN - JOINT 
2788 Prince Edward Street
Vancouver, BC  V5T 0C8
Townhouses
2718, 2738, 2768, 2790, 2792 and 2796 Prince Edward Street
408, 410, 416, 418, East 11th Avenue
401, 411 and 421 East 12th Avenue
Vancouver, BC 
",EPS1093,KD
5278,"UPTOWN - RESIDENTIAL
2788 Prince Edward Street
Vancouver, BC   V5T 0C8
Townhouses
2718, 2738, 2768, 2790, 2792 and 2796 Prince Edward Street
408, 410, 416, 418, East 11th Avenue
401, 411 and 421 East 12th Avenue
Vancouver, BC 
",EPS1093,KD
5280,ALTO - RESIDENTIAL,BCS3664,BK
"5281
5281-C","LONDON PLACE 
1177 Hornby Street
Vancouver, BC
V6Z 2E9",LMS1757,"KD
"
"5285
5285-1 (Phase 1)
5285-2 (Phase 2)
","AFFINITY
Phase 1 - 2200 Douglas Road
2222, 2224, 2226, 2228, 2230
Burnaby, BC
V5C 0G8

Phase 2 - 2232 Douglas Road
2236, 2238
Burnaby, BC
V5C 0G9",BCS4311,"CL
"
5286,"COSMO
161 West Georgia Street
Vancouver, BC
V6B 0K9
",BCS4387,SC
5291,"THE PARK @ THE BORDEAUX
7102 Mont Royal Square
Vancouver, BC
V5S 4W4
Financial Contract Only
",LMP52054,SC
5292,"7&W
1002 East 7th Avenue
1006 East 7th Avenue
1008 East 7th Avenue
V5T 1P7
2316 Windsor Street
2318 Windsor Street
2320 Windsor Street
2330 Windsor Street
2328 Windsor Street
2326 Windsor Street
Vancouver, BC
V5T 3Z5
",BCS4332,"MC
(Admin Pool is Admin)"
5293,"MAYNARDS BLOCK
5293W - 445 West 2nd Avenue ? The West Building
5293N - 1919 Wylie Street ? The North Building
5293S - 429 West 2nd Avenue ? The South/Heritage Building
5293T - Townhouses Addresses:
408, 418, 428, 438, 448, 458, 468 West 1st Avenue ? The North Building
Vancouver, B.C.
",EPS984,CS
5295,"OASIS
2955 Atlantic Avenue
Coquitlam, BC V3B 0H9",BCS4512,FY
5300,"VANTAGE
2077 Rosser Avenue
Burnaby, BC
V5C 0G6
",EPS809,JT
5301,"THE RESIDENCES AT SUTER BROOK
301 Capilano Road
Port Moody, BC
V3H 0G6",EPS1232,JL
5302,"KITS 360 - JOINT
1777 West 7th Avenue
1772, 1776, 1778, 1780, 1782, 1786, 1788 West 6th Avenue
2288 Burrard Street 
Vancouver, B.C. 
V6J 0E5",EPS808,GR
5303,"KITS 360 - RESIDENTIAL 
1777 West 7th Avenue
1772, 1776, 1778, 1780, 1782, 1786, 1788 West 6th Avenue
Vancouver, B.C. 
V6J 0E5",EPS808,GR
