PROJ #,PROJECT NAME,"STRATA 
PLAN",PM
5744,"VOYCE
5168 Cambie Street
Vancouver, B.C.
V5Z 0K7",EPS9592,EL
5745,"LILIBET
520-570 West 28th Avenue
580-590 West 28th Avenue
4406-4426 Ash Street
Vancouver, B.C.",EPS10172,HB
5746,"SPARK
4033 May Drive
Richmond, BC
V6X 0T3",EPS6727,SY
5747,"TOWNHOMES AT EVELYN  WALK
790-796 Arthur Erickson Place
West Vancouver, BC",EPS9754,SA
5748,"HIGHSTREET VILLAGE TOWNHOMES 
30530 Cardinal Avenue
Abbotsford, BC
V2T 0L5",EPS10001,CG
"5749 

5749C (545) = Units 141-146, 241-246 & 441-446

5749D (565) = Units 161-164 & 461-464

5749E (555) = Units 151-157 & 351-357

5749F (535) = Units 131-138","TRAILS 2

535, 545, 555, 565 East 2nd Street
North Vancouver, BC
V7L 1E1",EPS10157,SR
5750,"GILMORE TOWER 1
2186 Gilmore Avenue
Burnaby, BC
V5C 0N7",EPS8857,JT
5751,"PARK W29
531 West 29th Avenue
Vancouver, BC
V5Z 2H8",EPS8695,SA
5752,"THE INN AT WHISTLER VILLAGE
4250 Village Stroll
Whistler, B.C.
V8E 1E3",VR960,CKS
5753,"HEARTWOOD
3535 Highland Drive
3522 Harper Road
Coquitlam, B.C.",EPS10464,EL
5754,"CANVAS
5504 Brydon Crescent
Langley, BC 
V3A 0R3",EPS10139,CG
5756,"BRIGHOUSE 22
8699 Spires Road
8968 Cook Crescent
Richmond, BC V6Y 1W4",EPS9274,LZ
5757,"SOLEIL 
(RESIDENTIAL ASP)
1588 Johnston Road
White Rock, BC V4B 0C5
",EPS10169,CL
"5758
NLM as of January 31, 2026","THE FALLS
24951 112 Ave
Maple Ridge, BC
V2W 0L1",EPS10402,SA
5759,"SOLEIL COMMERCIAL
1574-1588 Johnston Rd.
White Rock, BC V4B 0C5

15208-15238 North Bluff Road
White Rock, BC V4B 3Z7",EPS10170,SA
5760,"THE WILLOW
778 West 27th Avenue
Vancouver BC
V5Z 2G6",EPS10712,MR
5761,"CHELSEA AT THE BOROUGHS
16325 21 Avenue, Surrey, BC (Phases 1-3)
16355 21 Avenue, Surrey, BC (Phases 4-6)",EPS10004,CL
5762,"CLUB GILMORE
2186 Gilmore Avenue
Burnaby, BC
V5C 0N7",N/A,JT
5764,"THE NEWMARK (Joint/Strata Corporation)
4888 Hazel Street
5885 Kingsway Avenue
Burnaby, BC
V5H 4T4",LMS3131,MC
5765,"EPIC AT WEST
1788 Columbia Street
Vancouver, BC
V5Y 0L7",EPS4489,SB
5766,"GRAND CORNICHE 1
6240 McKay Avenue
Burnaby, BC
V5H 4L8",NW3079,MC
5767,"HOLLYBRIDGE AT RIVER GREEN
6811 Pearson Way
6833 Pearson Way
6855 Pearson Way
Richmond, B.C. ",EPS9187,"SC/TL
(Katy L is Admin)"
5768,"PIER WEST
(WEST TOWER)
680 Quayside Drive
New Westminster, BC
V3M 0P2",EPS10722,JT
5769,"GILMORE TOWER 3
4168 Lougheed Hwy
Burnaby, B.C. 
V5C 0N9",EPS8859,YM
5770,"POLARIS
4425 Halifax Street
Burnaby, BC
V5C 6P2",LMS3824,BK
5771,"THE GRAND ON KING GEORGE (RESIDENTIAL STRATA)
10750 - 135A Street
Surrey, BC
V3T 0V4",EPS10825,GR
5772,"WEST OAK
6288 Oak Street
Vancouver, BC
V6M 2W4

6286, 6294, 6306, 6340, 6342, 6382, 6362, 6360, 6322, 6314, 6312, 6288, 6256 Oak Street 
Vancouver, BC
V6M 2W4",EPS11004,"MA
(AW is Admin)"
5773,"THE GRAND ON KING GEORGE (COMMERCIAL STRATA)
10741 King George Boulevard, Surrey, BC V3T 0V5
10745 King George Boulevard, Surrey, BC V3T 0V5
10749 King George Boulevard, Surrey, BC V3T 0V5
13575 107A Avenue, Surrey, BC V3T 0V5",EPS10883,GR
5774,"PICASSO GALLERIA CONCORD GARDENS (RESIDENTIAL STRATA)

8671 HAZELBRIDGE WAY 
RICHMOND, BC 
V6X 0W9

3328 NO. 3 ROAD
RICHMOND, BC 
V6X 0X1

8611 HAZELBRIDGE WAY 
RICHMOND, BC 
V6X 0W8",EPS10662,FY
5775,"GILMORE TOWER 2
2108 Gilmore Avenue
Burnaby, B.C. 
V5C 0N8",EPS8858,JT
5776,"QUINN
13439 94A Avenue Surrey, B.C.
V3V 0G9
9456 134 Street
Surrey, B.C.
V3V 0G8",EPS10911,KC
5777,"CHLOE RESIDENTIAL 
2096 West 47th Avenue
Vancouver, BC
V6M 0E5",EPS9999,EL
5778,"THE MANDARIN SHARE COST


",N/A,"CCS/KN
(CCS is Senior)"
5779,"MANDARIN RESIDENCES
6188 No. 3 Road , Richmond, BC V6Y 0J3
6288 No. 3 Road , Richmond, BC V6Y 0J4",EPS3548,"KN/CCS
(FF is Admin)"
5780,"FRASER
JOINT/STRATA CORPORATION
 9735 / 9739 / 9733 University Crescent, 
Burnaby, BC V5A 0E8 
9278 Slopes Mews, 
Burnaby, BC V5A 0G1 
9228 Slopes Mews, 
Burnaby, BC V5A 0E9",EPS5767,SB
5781,"FRASER
TH SECTION
9735 University Crescent, Burnaby, BC V5A 0E8 
9739 University Crescent, Burnaby, BC V5A 0E8 
9733 University Crescent, Burnaby, BC V5A 0E8 
9278 Slopes Mews, Burnaby, BC V5A 0G1",EPS5767,SB
5782,"FRASER 
APT SECTION
9228 Slopes Mews, 
Burnaby, BC 
V5A 0E9",EPS5767,SB
5784,"SEASIDE RIDGE
1560 Prince Street
Port Moody, BC
V3H 3W8",LMS0076,SB
5785,"PICASSO GALLERIA CONCORD GARDENS 
RENTAL HOUSING UNIT (ASP 2)
3328 No. 3 Road
Richmond, BC
V6X 0X1",EPS10850,MR
5786,"PIER WEST 
(EAST TOWER)
660 Quayside Drive
New Westminster, BC
V3M 0P1",EPS10723,JT
5787,"ELEMENT 2
7161 17th Ave, Burnaby, BC
V3N 1K8",EPS10793,HB
5788,"BELVEDERE 
(STRATA CORPORATION/JOINT)
9675 King George Blvd
Surrey, BC
V3T 0T7",EPS11017,"DC/SB
(DC Is Senior)
(OY is Admin)"
5789,"BELVEDERE 
(RESIDENTIAL SECTION)
9675 King George Blvd
 Surrey, BC
V3T 0T7",EPS11017,"DC/SB
(DC Is Senior)
(OY is Admin)"
5790,"BELVEDERE 
(COMMERCIAL SECTION)
9675 King George Blvd
 Surrey, BC
V3T 0T7",EPS11017,"DC/SB
(DC Is Senior)
(OY is Admin)"
5791,"PURA
13238 105 Avenue
13258 105 Avenue
Surrey, BC",EPS10005,KC
5792,"PARK GEORGE 
13768 100 Avenue, Surrey, BC V3T 0V2 
13778 100 Avenue, Surrey, BC V3T 0V3",EPS10940,GR
5793,"GIBSON RESIDENCES
1961, 1963, 1967 Napier Street
1051, 1061, 1071, 1081 Semlin Drive
Vancouver, B.C. 
V5L 2N6",EPS10909,EL
5794,"HIGHSTREET VILLAGE CONDOS

30490 Cardinal Avenue, Abbotsford, BC V2T 0L9
30494 Cardinal Avenue, Abbotsford, BC V2T 0M1",EPS11140,CG
5795,"BERKELEY HOUSE
9213 Odlin Road,
Richmond, BC V6X 0V5
9233 Odlin Road
Richmond, BC V6X 0V4",EPS6677,CCS
5796,"WILDWOOD
3950, 3952, 3956, 3958, 3960, 3962, 3968, 3972, 3976, 3978, 
3980, 3982, 3986, 3992, 3996, 3998 Uplands Way
West Vancouver, B.C.",EPS8151,"MC
(Admin Pool is Admin)"
5797,"LINA (JOINT)
5212 Cambie Street
Vancouver, BC V5Z 0L6",EPS11309,LZ
5798,"LINA 
(RESIDENTIAL SECTION)
5212 Cambie Street
Vancouver, BC V5Z 0L6",EPS11309,LZ
5799,"JINJU
537 Cottonwood Avenue
Coquitlam, B.C.
V3J 0S4 ",EPS10947,DC
5800,"ANCHOR
(North Building)
1100 Clarke Rd
Port Moody, BC  V3H 0N3

(South Building) 
2002 St. George St
Port Moody BC,  V3H 0N4",EPS8288,KZ
5801,"PICASSO GALLERIA CG COMMERCIAL OFFICE (ASP 3)
3388 No. Road, Richmond, BC, V6X 0X2 ",EPS10851,CCS
5802,"PICASSO GALLERIA ARTS SPACE (ASP 4)
110-8671 Hazelbridge Way
Richmond, BC",n/a,"CKS/CCS  
(Cherie)"
5803,"PICASSO GALLERIA RETAIL (REMAINDER)
8531-8539 Capstan Way, 
115-3328 No 3 Road, Commercial Parkade
Richmond, B.C.",n/a,"CKS/CCS  
(Cherie)"
5804,"GRAFIA ? JOINT
2450 Garden Drive, Vancouver, BC V5N 0K1
2305-2351 East Broadway, Vancouver, BC V5N 0K1",EPS10989,KC
5805,"GRAFIA ? RESIDENTIAL SECTION
2450 Garden Drive, Vancouver, BC V5N 0K1 
2305-2351 East Broadway, Vancouver, BC V5N 0K1",EPS10989,KC
5806,"GRAFIA ? COMMERCIAL SECTION
2450 Garden Drive, Vancouver, BC V5N 0K1 
2305-2351 East Broadway, Vancouver, BC V5N 0K1",EPS10989,MR
5807,"CHLOE COMMERCIAL
2092, 2094 West 47th Avenue
6306, 6316, 6326, 6336, 6346, 6350, 6370, 6390 East Boulevard
2099 West 48th Avenue
Vancouver, B.C.",EPS9998,EL
5808,"VALEO ? JOINT
Building A
RESIDENTIAL 
4788 Hastings St. 
Burnaby, BC 
V5C 0P3
(Units 201-215, 301-319, 401-419, 501-509)

Building A
COMMERCIAL
Grocery - 4762 Hastings St.
Burnaby, BC
V5C 0P4 
Retail 1 - 4790 Hastings St.
Burnaby, BC
V5C 0P4 

Building B 
Office
 4756 Hasting St., 
Burnaby, BC
V5C 0P4
(Units 201-208, 301-308, 401-408)

Retail 2 (CRU 1) ? 4718 Hastings St. Burnaby, BC
V5C 0P4

Retail 2 (CRU 2) ? 4728 Hastings St. Burnaby, BC
V5C 0P4

Retail 2 (CRU 3) ? 4734 Hastings St. Burnaby, BC
V5C 0P4
",EPS10007,"EL/CL
(Eva Lo
Katy L. Admin)"
5809,"VALEO ? RESIDENTIAL SECTION
4788 Hastings St. 
Burnaby, BC 
V5C 0P3
(Units 201-215, 301-319, 401-419, 501-509)",EPS10007,"EL/CL
(Eva Lo
Katy L. Admin)"
5810,"VALEO - COMMERCIAL SECTION
Building B 
Office 
4756 Hasting St., 
Burnaby, BC
V5C 0P4
(Units 201-208, 301-308, 401-408)

Retail 2 (CRU 1) ? 4718 Hastings St. Burnaby, BC
V5C 0P4

Retail 2 (CRU 2) ? 4728 Hastings St. Burnaby, BC
V5C 0P4

Retail 2 (CRU 3) ? 4734 Hastings St. Burnaby, BC
V5C 0P4",EPS10007,CL
5811,"THE COMMONS 
8230 208B Street
Langley, B.C.
V3A 7E6",EPS7988,CCS
"5812
Phase 1:
5812-A is 1942 Starling Drive
5812-C is 1930 Starling Drive
Phase 2:
5812-B, 4772 Douglas Fir Way","WEST COAST ESTATES CONDOS
1930 Starling Drive, Tsawwassen, BC
1942 Starling Drive, Tsawwassen, BC",EPS8403,CL
"5813
5813-1 ? 11191 Horseshoe Way
5813-2 ? 11171 Horseshoe Way
5183-3 ? 11151 Horseshoe Way","RIVERSIDE
11151, 11171, 11191 Horseshoe Way
Richmond, BC
V7A 4S5",LMS1585,CL
5814,"WATER STREET BY THE PARK

Tower 1
 238 Leon Avenue, Kelowna, BC V1Y 0N6

Tower 2 (The Eli) 
 1626 Water Street, Kelowna, BC V1Y 0N7",EPS11271,"Terry Li (Senior PM)
Michelle Ross 
(Junior PM)"
5815,"BASTILLE 
215 McBay Lane
209 McBay Lane
Coquitlam, B.C. ",EPS10854,KC
5816,"HIGHLAND PARK
2501 161 A Street, Surrey, BC
V3Z 7Y6",BCS2896,CL
5817,"HIGHLAND PARK AMENITIES
2501 161 A Street, Surrey, BC
V3Z 7Y6",BCS2896,CL
5818,"SOTO ON 28
539, 551, 555, 561 
West 28th
Vancouver, BC",EPS11532,"MC
(Admin Pool is Admin)"
5819,"KINSLEY
475 West 28th Avenue
Vancouver, BC
V5Y 0P2",EPS11606,HB
5820,"JACOB
33886 Pine Street
Abbotsford, B.C.
V2S 0N9",EPS11725,CG
5821,"SKAHA LAKE TOWERS
Phase 1 - 3388 Skaha Lake Road, Penticton BC, V2A 6G4

Phase 2 - 3346 Skaha Lake Road, Penticton BC, V2A 0H6

Phase 3 - 3362 Skaha Lake Road, Penticton BC, V2A 0J4
",EPS4170,MR
5822,"SKYVIEW
7381 Preston Blvd, Mission, B.C.
V2V 0M1",EPS11766,SA
5823,WATER STREET BY THE PARK - CLUB,N/A,"Terry Li (Senior PM)
Michelle Ross 
(Junior PM)"
5824,"EAST RIDGE
3025 McMillan Road
Abbotsford, B.C.
V3G 1H3",EPS11610,SA
5825,"BCS2301
4204 ? 4206 Hastings Street
Burnaby, B.C. 
V5C 2J6",BCS2301,EL
5826,WATER STREET BY THE PARK - REMAINDER,n/a,CKS
5827,"ARTESIA
5685 Halley Avenue
Burnaby, BC
 V5H 0L9

Townhouse addresses
5681 & 5683 Halley Avenue, 
Burnaby, BC V5H 0L9",EPS11556,KN/TL
5828,"QUAIL LANDING 
1979 Country Club Drive
Kelowna, B.C. 
V1V 0H6",EPS8157,MR
5829,"TERRACES ON 7TH - JOINT
1530, 1550, 1570, 1590
West 7th Avenue
Vancouver, B.C.",LMS4708,"Terry Li (Senior PM)
Angela Matheson 
(Junior PM)"
5830,"TERRACES ON 7TH - COMMERCIAL SECTION A
1570 West 7th Avenue
Vancouver, B.C.
V6J 5M1",LMS4708,"Terry Li (Senior PM)
Angela Matheson 
(Junior PM)"
5831,"TERRACES ON 7TH - COMMERCIAL SECTION B
1530 West 7th Avenue
Vancouver, B.C.
V6J 1S3",LMS4708,"Terry Li (Senior PM)
Angela Matheson 
(Junior PM)"
5832,"TERRACES ON 7TH - COMMERCIAL SECTION C
1550 West 7th Avenue
Vancouver, B.C.
V6J 1S2",LMS4708,"Terry Li (Senior PM)
Angela Matheson 
(Junior PM)"
5833,"TERRACES ON 7TH - RESIDENTIAL SECTION D
1570 West 7th Avenue
Vancouver, B.C.
V6J 5M1",LMS4708,"Terry Li (Senior PM)
Angela Matheson 
(Junior PM)"
5834,"SAINT GEORGE - JOINT
2471 St. George Street
Vancouver, B.C.
V5T 0L8",EPS11898,SA
5835,"SAINT GEORGE - RESIDENTIAL SECTION
2471 St. George Street
Vancouver, B.C.
V5T 0L8",EPS11898,SA
5836,"SAINT GEORGE - COMMERCIAL SECTION
2471 St. George Street
Vancouver, B.C.
V5T 0L8",EPS11898,SA
5837,"EXECUTIVE ON THE PARK
423 6th Street
West Vancouver, BC",EPS10569,"Chris Sargent 
(Senior PM)
KaWing Ng
(Junior PM)"
5838,"WINTERRA AT THE LAKES
2532 Shoreline Drive 
Lake Country, BC 
V4V 2R6",KAS3521,AM/TL
5839,"BAILEY
4928 Quebec Street
Vancouver, BC
V5W 0G6",EPS12090,EL
5840,"SCOTT + 77
7728 119A Street, Delta, BC V4C 0E8
7738 119A Street, Delta, BC V4C 0E8",EPS9803,GR
5841,"GEORGETOWN  2
13738 Central Avenue
Surrey, B.C.V3T 0X5",EPS11797,SA
